,AAPL,ABEV,ABT,ADBE,ADP,AGRO,AIG,AMD,AMGN,AMX,AMZN,ARCO,AUY,AVY,AXP,AZN,BA,BABA,BAC,BBD,BBVA,BCS,BG,BHP,BIDU,BIIB,BMY,BP,BRFS,BSBR,C,CAR,CAT,CBD,CDE,CHA,CHL,CL,COST,CRM,CS,CSCO,CVX,CX,DD,DE,DEO,DESP,DIS,EBAY,ERIC,ERJ,FB,FCX,FDX,FMX,GE,GGB,GILD,GLOB,GOLD,GOOGL,GRMN,GS,GSK,HD,HL,HMC,HMY,HNP,HON,HPQ,HSBC,IBM,IBN,INFY,ING,INTC,ITUB,JD,JNJ,JPM,KMB,KO,KOF,LLY,LMT,LVS,LYG,MCD,MDT,MELI,MMM,MO,MRK,MSFT,MSI,NEM,NFLX,NGG,NKE,NOK,NUE,NVDA,NVS,OGZPY,ORCL,PBR,PEP,PFE,PG,PTR,PYPL,QCOM,RDSB.L,RIO,RTX,SAP,SBS,SBUX,SID,SIEGY,SLB,SNA,SNAP,SNE,SNP,SUZ,T,TEF,TGT,TIIAY,TM,TMO,TOT,TRIP,TRV,TSLA,TSM,TSU,TWTR,TX,TXN,UGP,UN,USB,V,VALE,VIV,VOD,VRSN,VZ,WFC,WMT,X,XOM,XRX,YELP,YZCAY
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,66.54,3.08,77.02,305.79,150.92,5.24,32.81,43.27,198.37,13.89,1800.61,5.24,3.91,115.46,98.29,45.23,227.17,197.66,21.93,5.49,3.88,6.02,43.58,34.87,106.65,297.19,57.66,25.28,4.24,6.8,51.37,21.09,104.07,13.62,3.78,36.1,37.14,69.99,301.98,151.21,8.93,37.96,80.67,2.56,35.15,150.0,134.65,9.87,104.35,35.52,7.11,12.6,169.5,8.23,115.7,73.46,8.21,2.82,73.52,99.32,19.93,1215.79,81.16,172.81,40.72,210.46,2.25,23.3,3.69,15.62,152.86,18.96,30.45,117.81,11.97,9.08,7.24,50.85,5.67,39.91,136.44,93.44,141.32,51.86,48.58,135.72,352.03,49.66,2.06,186.86,92.4,539.64,144.06,40.34,78.96,150.62,165.69,47.78,346.49,62.99,84.11,3.31,34.72,245.44,81.46,4.62,46.01,7.26,130.16,33.76,116.06,34.03,101.63,72.64,1304.8,41.81,72.6,111.5,10.78,70.83,1.76,45.21,17.31,131.94,11.45,58.53,46.83,7.75,34.69,5.15,104.03,4.28,122.79,295.35,34.77,20.09,116.2,121.6,51.83,16.02,32.46,14.18,105.04,3.15,53.0,36.32,171.13,7.97,11.08,15.91,176.81,55.83,32.48,117.16,6.03,41.86,27.5,26.4,7.55
2020-03-10,71.33,3.12,80.88,332.38,154.42,5.37,35.07,45.38,206.8,14.63,1891.82,5.7,4.02,120.36,103.3,46.9,231.01,206.39,23.61,5.79,4.09,6.18,43.34,37.76,111.91,305.63,57.93,26.79,4.5,7.25,55.58,22.12,106.49,14.44,3.83,36.87,38.52,71.81,309.4,161.34,9.65,40.08,84.98,2.71,38.12,154.99,138.78,10.01,111.46,36.04,7.47,13.17,178.19,9.0,120.67,72.94,8.85,3.04,72.34,106.14,19.87,1275.17,84.42,184.35,41.02,225.7,2.28,24.27,3.59,15.75,161.69,19.79,31.67,124.77,12.48,9.19,7.54,53.98,6.15,41.8,141.64,100.7,141.02,53.66,49.12,141.19,367.17,53.38,2.18,199.86,96.36,599.07,153.3,42.15,82.02,160.92,170.73,48.38,364.13,62.08,88.3,3.32,37.13,261.08,84.95,4.99,48.58,8.01,134.14,34.59,120.55,35.92,109.74,78.89,1348.0,45.8,75.12,117.99,11.56,74.87,1.93,46.66,18.19,140.38,11.99,60.33,49.96,8.42,35.85,5.19,108.33,4.28,126.99,307.7,37.02,19.68,119.57,129.07,54.51,16.54,34.31,14.07,112.12,3.82,54.13,38.64,182.6,9.4,11.66,16.14,186.06,56.52,35.08,119.79,6.62,43.41,28.7,27.81,7.72
2020-03-11,68.86,2.85,78.09,315.23,148.01,5.01,32.43,45.7,198.65,14.4,1820.86,4.61,3.62,110.94,95.38,44.58,189.08,198.91,22.67,5.26,3.88,5.87,39.9,35.45,108.25,294.25,56.51,24.66,3.95,6.52,50.79,19.41,100.69,13.14,3.33,35.03,36.71,68.9,297.43,154.57,9.07,37.05,83.03,2.6,36.66,145.88,131.36,9.06,105.51,34.83,7.12,11.92,170.24,8.12,111.01,65.94,8.21,2.72,73.7,98.18,18.79,1210.9,80.51,171.89,39.87,212.89,2.04,23.56,3.37,15.75,153.39,19.36,30.91,117.97,11.99,8.9,6.94,51.66,5.53,41.53,131.8,95.96,134.16,52.21,47.55,140.02,356.93,48.63,2.08,188.25,92.44,550.72,147.24,40.48,79.25,153.63,161.21,46.02,349.92,59.43,84.0,3.13,35.43,246.47,82.14,4.69,44.72,6.85,129.75,32.17,111.59,34.42,103.9,74.62,1311.4,42.71,67.66,112.62,10.58,68.3,1.63,44.39,17.38,129.46,10.81,57.79,48.33,7.4,34.52,4.89,105.58,4.21,122.79,289.38,34.51,18.23,112.6,126.85,52.24,16.28,31.3,12.78,106.5,3.36,51.76,36.21,172.95,8.5,11.37,14.97,178.03,54.83,32.33,114.43,5.99,41.98,27.84,24.0,7.61
2020-03-12,62.06,2.61,74.74,285.0,130.28,4.46,25.67,39.01,182.24,12.95,1676.61,4.3,3.15,104.22,83.53,40.76,154.84,185.1,20.51,4.45,3.36,5.0,36.15,30.93,99.0,268.88,52.75,21.57,3.27,5.55,43.26,15.53,92.26,11.92,2.77,31.51,33.89,63.89,279.85,140.59,7.71,33.2,76.26,2.35,33.28,130.39,125.54,8.02,91.81,33.03,6.22,9.12,154.47,7.17,97.0,65.62,7.23,2.24,68.58,90.34,16.88,1111.55,72.88,150.68,36.51,190.59,1.69,21.45,2.81,14.56,134.85,17.51,28.55,102.81,10.45,8.05,5.84,45.54,4.77,38.26,125.41,88.05,122.31,47.16,45.3,126.02,311.38,44.15,1.83,170.13,84.4,502.0,133.58,36.42,74.45,139.06,141.37,44.44,315.25,53.85,74.2,2.61,31.77,216.31,74.07,4.29,39.8,5.45,115.34,30.02,101.84,31.22,96.96,67.02,1100.0,38.86,64.51,101.44,8.62,62.1,1.34,39.0,14.42,118.82,10.42,52.57,45.06,6.05,31.33,4.42,92.62,3.44,112.2,284.32,29.11,14.92,102.18,112.11,48.69,13.63,26.78,11.34,97.53,2.69,47.43,31.61,160.08,7.16,10.13,13.4,165.67,51.2,27.2,104.05,5.07,37.18,23.9,21.46,7.45
2020-03-13,69.49,2.64,81.65,335.5,144.5,5.06,28.5,43.9,202.1,13.62,1785.0,5.07,2.71,106.08,99.6,42.28,170.2,194.0,24.16,5.2,3.65,5.4,38.56,34.29,100.29,305.21,54.99,22.17,3.47,6.33,51.04,18.01,99.64,13.88,2.56,32.63,34.45,69.1,302.27,147.78,8.16,37.64,83.42,2.46,37.1,138.96,127.72,7.74,102.52,33.99,6.96,9.95,170.28,7.53,106.63,73.07,7.85,2.59,70.75,101.75,15.67,1214.27,77.34,177.17,37.85,205.67,1.69,21.98,2.46,14.67,149.41,17.18,29.9,107.95,11.38,8.38,6.15,54.43,5.49,39.71,134.29,103.91,134.18,48.47,47.55,139.37,328.59,49.01,1.93,177.13,88.82,535.69,141.68,40.07,76.75,158.83,154.95,39.5,336.3,55.69,75.58,2.74,35.84,240.84,79.61,4.74,47.93,6.58,127.45,32.71,114.07,34.0,110.15,75.81,1083.8,43.9,66.33,108.35,10.29,69.92,1.59,40.4,16.16,126.22,11.35,56.32,47.73,6.76,34.47,4.53,101.02,3.84,116.23,300.12,31.22,17.08,107.45,109.32,52.23,14.59,29.29,11.98,106.04,3.29,48.47,37.1,175.83,8.7,10.94,13.7,182.62,54.17,30.89,114.1,5.42,38.12,23.96,23.54,7.71
2020-03-16,60.55,2.11,73.66,286.03,122.46,4.71,23.25,38.71,188.68,11.82,1689.15,4.2,2.96,97.01,85.87,37.79,129.61,178.85,20.44,4.43,2.89,4.22,33.64,31.55,89.68,281.72,51.11,18.84,2.69,5.22,41.19,14.3,93.41,12.53,2.63,29.12,32.42,62.34,283.18,124.3,6.67,33.71,69.7,1.93,34.25,120.05,114.32,6.72,95.01,32.24,6.17,8.08,146.01,6.24,90.49,62.67,6.66,2.15,68.9,92.55,16.33,1073.0,70.85,154.66,33.67,164.96,1.7,20.26,2.63,13.42,135.27,14.46,28.14,99.08,10.28,7.37,4.9,44.61,4.73,35.24,127.13,88.36,134.71,45.26,43.35,129.38,287.94,40.39,1.63,149.01,77.43,467.32,130.91,38.22,69.92,135.42,145.24,40.73,298.84,51.43,66.79,2.42,30.64,196.4,73.14,4.27,42.72,5.25,113.09,30.18,108.5,30.64,92.72,64.48,1003.4,40.26,57.22,97.49,8.58,58.59,1.39,35.36,14.41,116.48,9.06,51.68,45.73,5.66,31.81,4.1,93.79,3.09,108.5,279.35,26.3,16.81,85.1,89.01,44.9,12.94,24.04,11.17,93.5,2.53,42.82,32.57,152.01,7.9,10.08,11.59,160.28,50.99,26.5,106.76,5.32,34.49,19.94,17.68,7.09
2020-03-17,63.22,2.3,79.49,311.81,129.39,4.56,22.25,41.88,207.8,13.28,1807.84,4.06,3.5,106.71,86.58,40.93,124.14,184.81,21.98,4.75,3.12,4.25,35.29,34.87,91.13,305.32,54.09,18.84,3.01,5.5,40.25,12.15,100.2,13.18,3.54,29.56,33.36,70.2,306.99,135.42,7.24,35.5,70.69,2.17,36.01,126.71,113.41,7.0,93.53,33.28,6.86,8.49,149.42,6.48,94.96,63.88,7.08,2.21,74.52,97.99,17.71,1118.06,73.93,158.67,36.85,173.64,2.12,21.28,2.77,13.28,131.8,14.4,29.7,106.65,9.97,7.87,5.04,50.08,4.9,38.35,136.59,93.76,144.07,47.18,46.79,143.2,318.83,40.86,1.62,147.62,80.21,490.69,134.44,39.85,74.48,146.57,149.33,45.8,319.75,58.93,69.84,2.53,30.99,217.27,76.95,4.46,46.86,5.4,127.72,32.16,118.24,30.81,97.87,68.86,1026.2,41.79,58.43,102.96,9.29,58.98,1.52,36.93,14.0,125.44,8.91,55.2,46.86,5.74,33.74,4.87,103.63,3.55,118.89,296.31,27.63,15.6,96.41,86.04,48.54,14.15,24.48,11.41,106.15,2.8,47.67,33.72,157.89,8.17,11.28,13.08,176.19,54.31,29.63,119.26,5.58,36.81,19.68,17.53,7.29
2020-03-18,61.67,2.12,79.26,294.61,117.6,3.87,18.78,39.12,204.88,12.95,1830.0,3.21,2.95,105.46,73.75,39.36,101.89,180.0,20.79,3.95,2.96,3.87,30.25,30.95,83.62,298.68,50.24,16.11,2.57,4.8,36.43,7.78,100.12,11.59,2.88,27.69,31.31,67.69,307.5,132.24,6.85,37.12,55.05,1.99,32.06,114.21,104.04,6.25,88.8,31.3,6.78,6.89,146.96,5.31,99.68,60.4,6.6,1.81,79.42,92.57,15.88,1091.19,71.71,140.02,34.28,155.63,1.61,20.97,2.08,12.45,119.61,13.11,28.6,103.55,9.14,7.35,4.7,47.61,4.43,37.7,134.96,83.89,134.35,44.85,43.29,143.09,333.41,37.68,1.49,137.3,74.54,452.17,137.02,38.32,71.63,140.4,148.2,41.57,315.47,54.52,68.04,2.43,29.35,202.82,74.96,4.02,47.27,4.31,120.92,32.36,117.45,28.59,91.46,61.19,916.8,38.03,49.97,96.95,6.96,56.33,1.23,33.1,12.05,111.02,8.37,54.79,44.39,4.73,32.85,4.7,102.82,3.86,116.07,302.98,24.8,14.45,81.69,72.24,44.37,12.74,22.0,9.84,100.0,2.26,47.81,33.0,148.48,7.4,10.43,12.6,164.0,54.32,28.12,122.58,4.9,33.12,15.98,14.46,6.79
2020-03-19,61.19,2.34,74.5,307.51,117.37,4.07,20.6,39.82,198.76,12.65,1880.93,3.29,2.81,103.05,77.07,40.13,97.71,180.88,21.2,4.1,3.0,3.93,32.74,32.35,89.62,288.02,48.79,17.0,2.89,5.0,39.64,9.68,103.01,12.68,3.22,26.77,31.3,66.65,305.22,139.46,7.5,37.71,57.39,1.86,31.66,119.66,111.58,6.69,94.93,29.6,7.11,7.68,153.13,5.74,111.68,60.11,6.48,1.93,78.55,82.5,16.08,1111.67,70.11,149.49,33.66,161.13,1.78,21.14,2.19,11.78,118.96,14.4,29.08,100.34,8.01,7.13,4.81,45.94,4.49,37.21,127.05,85.3,126.41,41.83,43.63,133.09,314.2,40.36,1.47,149.5,79.22,463.53,137.51,37.1,70.73,142.71,149.72,41.74,332.03,53.07,70.34,2.56,30.82,212.97,75.56,4.49,45.07,5.06,117.34,30.42,110.83,29.67,93.69,65.0,960.0,37.96,52.71,94.13,7.13,61.41,1.23,32.77,13.87,107.03,9.47,55.4,42.14,5.47,31.15,4.95,100.5,3.95,118.23,280.84,24.76,15.69,86.07,85.53,43.89,14.49,24.13,10.78,101.57,2.39,48.64,33.21,152.25,7.18,11.59,13.65,164.6,53.62,28.29,119.45,5.28,34.43,17.46,16.71,7.18
2020-03-20,57.31,2.4,68.0,295.34,112.06,4.08,19.23,39.61,188.25,12.07,1846.09,3.56,2.57,90.8,74.12,39.42,95.01,181.3,19.67,3.77,2.99,4.01,31.78,31.47,88.66,278.77,48.4,17.39,2.76,4.99,38.06,10.98,95.5,13.14,2.92,28.17,34.12,62.08,290.42,139.35,7.0,35.6,59.39,1.73,31.47,111.63,109.56,7.0,85.98,27.58,6.95,6.77,149.73,5.52,111.06,59.77,6.52,1.84,73.26,74.09,15.88,1068.21,66.03,138.41,33.34,152.15,1.66,20.74,1.93,12.58,112.5,13.95,28.81,95.39,8.02,6.94,5.04,45.83,4.38,37.66,119.89,83.5,118.28,38.3,41.05,122.4,291.22,43.31,1.39,148.49,77.46,452.88,124.89,34.28,71.36,137.35,136.61,40.56,332.83,49.65,67.45,2.66,30.63,205.75,72.42,4.26,45.65,4.85,103.93,29.01,102.43,29.46,86.68,60.91,1033.6,36.57,51.94,94.3,6.61,58.03,1.21,34.53,14.28,99.87,10.09,53.06,43.22,5.22,28.45,4.56,97.4,3.86,116.46,278.37,25.42,15.84,89.51,85.51,44.53,13.41,23.95,11.37,97.6,2.42,46.19,32.57,146.83,6.98,10.53,12.68,157.13,51.8,26.5,113.97,5.29,32.74,16.45,17.8,7.05
2020-03-23,56.09,2.25,62.82,307.27,109.07,4.1,19.3,41.64,185.93,11.47,1902.83,3.31,2.8,78.75,68.96,38.78,105.62,176.34,18.08,3.4,2.97,3.84,32.74,31.72,91.22,269.19,46.4,18.19,2.85,4.67,35.39,13.4,91.85,13.51,3.24,27.44,34.87,60.47,285.53,140.52,6.73,34.6,54.22,1.63,28.46,111.15,102.59,5.12,85.76,26.34,6.79,6.11,148.1,5.39,111.76,57.39,6.11,1.72,72.61,73.5,16.93,1054.13,63.63,134.97,31.85,162.39,1.83,19.86,2.18,12.55,103.86,13.7,28.13,94.77,6.9,7.12,5.15,49.58,4.02,38.61,111.14,79.03,112.34,37.56,38.44,119.05,276.8,43.45,1.34,137.1,72.92,457.65,117.87,31.38,66.4,135.98,124.56,41.66,360.27,45.35,62.8,2.65,28.42,212.69,70.67,4.26,44.19,4.46,105.18,28.49,97.7,30.56,85.26,62.53,1067.6,36.42,47.17,98.32,5.85,56.55,1.07,36.4,12.83,95.57,10.65,52.9,43.93,5.57,26.77,4.57,96.69,4.04,111.1,255.3,28.8,17.05,88.36,86.86,45.26,11.74,24.69,10.3,98.44,2.03,43.87,28.93,135.74,6.58,9.42,12.54,151.17,50.31,25.25,114.28,5.44,31.45,16.11,18.51,7.07
2020-03-24,61.72,2.25,69.69,310.0,120.96,4.1,22.93,46.22,202.34,11.92,1940.1,3.45,3.2,96.76,84.05,40.89,127.68,185.75,21.03,4.03,3.25,4.42,35.0,36.46,96.43,276.19,49.24,22.12,3.0,5.47,40.66,17.91,101.34,14.15,3.79,30.65,37.37,61.18,284.94,153.64,7.83,38.6,66.55,1.75,32.46,126.0,114.39,5.11,98.12,27.67,7.46,7.22,160.98,6.99,120.04,60.04,7.01,1.92,73.96,84.78,19.5,1130.01,70.37,153.6,34.0,184.72,2.07,21.74,2.38,13.59,119.51,15.47,29.59,105.48,7.14,7.74,6.11,52.4,4.46,41.01,119.18,88.43,117.38,39.45,39.03,122.89,288.91,44.84,1.52,161.95,80.35,490.0,132.72,32.38,69.05,148.34,130.81,47.5,357.32,49.55,72.33,2.94,31.98,249.18,73.56,4.47,47.84,5.43,113.84,29.7,103.27,32.34,97.29,65.46,1312.2,42.17,54.6,105.97,6.4,64.88,1.13,40.44,14.65,106.59,11.0,57.0,45.09,5.85,28.09,4.82,100.56,4.09,116.35,282.03,32.97,18.55,93.74,101.0,48.87,11.99,25.85,11.44,105.36,2.44,45.55,31.2,154.53,7.5,9.51,13.02,170.53,49.99,28.92,115.03,5.95,35.44,17.53,20.64,7.34
2020-03-25,61.38,2.37,70.75,305.91,122.59,4.11,25.72,44.63,193.14,12.56,1885.84,3.46,3.28,97.76,90.17,40.38,158.73,188.56,21.1,4.37,3.47,4.91,36.63,37.32,96.92,284.98,49.35,24.29,3.16,5.87,41.86,17.24,104.67,13.9,3.84,30.44,36.44,59.89,280.86,147.06,8.26,37.67,69.27,1.73,33.23,128.49,118.34,6.12,100.73,28.37,7.43,8.25,156.21,7.25,118.31,62.15,7.56,2.1,69.66,88.58,19.11,1101.62,71.71,155.13,35.42,181.76,2.27,22.78,2.78,13.65,129.65,15.38,29.7,105.85,7.98,8.19,6.38,51.26,4.72,41.35,119.4,91.73,116.36,41.61,40.9,121.94,319.67,47.35,1.67,162.98,86.82,482.65,131.54,34.37,68.22,146.92,133.66,47.54,342.39,53.2,79.01,3.07,31.2,245.62,76.89,4.61,45.94,5.8,112.5,29.75,100.92,33.58,95.71,63.08,1417.4,44.18,60.53,106.4,6.91,65.81,1.29,40.97,14.6,109.94,11.23,57.68,47.14,5.85,28.4,4.75,91.04,4.09,121.29,271.68,36.12,19.76,92.18,107.85,49.0,12.54,25.97,11.82,99.16,2.4,45.77,32.03,161.78,8.04,9.38,13.64,166.97,49.94,28.97,109.4,5.87,37.29,18.62,21.06,7.5
2020-03-26,64.61,2.64,75.81,322.67,137.06,4.13,27.51,47.5,198.49,13.04,1955.49,3.76,3.26,101.99,93.29,42.36,180.55,195.32,22.72,4.46,3.62,5.17,37.64,37.85,101.82,304.94,52.25,24.42,3.19,5.98,46.02,16.42,110.5,13.49,3.84,30.18,37.42,63.82,292.3,154.73,8.89,40.58,76.38,1.99,35.95,139.09,130.37,6.81,105.36,30.16,7.6,8.24,163.34,6.99,125.6,63.64,8.12,2.2,73.86,89.4,19.58,1162.92,74.23,165.79,37.25,195.21,2.18,23.68,2.69,14.32,137.4,17.94,30.13,112.89,8.88,9.1,6.51,55.54,4.9,42.01,126.57,98.12,124.01,44.29,42.15,134.35,350.33,48.36,1.78,167.35,91.94,489.56,136.18,36.64,73.53,156.11,148.99,48.28,362.99,57.14,84.3,3.15,33.54,257.24,79.74,4.66,50.48,5.81,120.26,31.75,107.38,33.27,100.63,68.98,1374.0,45.4,65.85,115.25,7.97,69.9,1.4,42.35,15.52,113.54,11.95,60.5,47.4,5.74,30.6,4.72,96.07,3.98,126.34,283.15,35.37,19.79,98.67,105.63,49.87,13.41,26.41,12.25,107.76,2.81,47.76,36.18,168.88,8.32,9.8,14.79,175.9,53.54,30.9,109.82,6.11,38.82,19.67,21.79,7.64
2020-03-27,61.94,2.51,74.56,305.83,131.38,4.11,25.51,46.58,198.27,12.18,1900.1,3.53,2.97,100.31,88.73,42.47,162.0,188.59,21.6,4.07,3.35,4.82,36.19,35.59,97.63,296.75,52.79,22.35,2.97,5.36,43.8,14.65,105.44,12.66,3.39,29.4,35.74,65.26,284.33,146.0,8.33,38.82,68.78,1.85,33.83,135.11,125.71,5.82,96.4,30.18,7.4,7.17,156.79,6.2,120.58,61.34,7.62,2.0,72.85,85.31,19.24,1110.26,73.53,158.34,36.44,190.55,1.92,23.09,2.38,14.17,131.27,16.86,28.87,108.03,8.62,8.51,6.04,52.37,4.57,40.15,123.16,91.13,124.89,42.81,38.82,134.11,348.38,42.1,1.67,164.01,89.89,471.43,133.24,36.64,71.73,149.7,135.07,46.35,357.12,57.47,83.23,3.01,33.36,252.73,79.28,4.43,49.83,5.19,120.46,30.9,110.17,31.94,93.48,66.59,1230.6,43.57,61.14,110.28,7.79,66.34,1.28,40.31,13.76,107.85,12.18,59.32,45.51,6.46,29.84,4.56,94.74,3.86,127.24,274.34,35.2,17.96,99.95,102.87,46.91,12.7,25.29,11.7,100.5,2.56,47.29,35.77,161.56,7.84,9.74,14.32,173.91,52.77,30.28,109.58,5.78,36.95,17.66,18.64,7.45
2020-03-30,63.7,2.48,79.34,318.39,137.82,3.89,25.71,47.86,208.48,11.91,1963.95,3.34,2.8,104.77,90.27,44.53,152.28,191.27,22.04,4.13,3.26,4.65,39.59,37.05,98.95,316.13,54.39,23.92,2.83,5.41,44.08,13.46,111.71,12.64,3.41,30.2,36.82,66.58,291.12,149.85,8.38,40.32,71.95,1.83,33.62,141.23,128.8,5.58,99.8,31.19,7.93,7.22,165.95,6.24,124.31,60.5,7.89,1.87,75.93,88.8,19.29,1146.31,76.69,159.62,37.6,196.1,1.85,23.41,2.24,14.55,131.75,17.84,28.86,112.93,8.41,8.49,5.47,55.49,4.69,40.39,133.01,93.5,132.43,45.0,39.46,138.44,348.85,43.49,1.62,168.13,92.05,473.29,137.74,37.31,76.95,160.23,133.37,46.36,370.96,59.32,85.38,3.05,34.92,265.59,81.9,4.47,50.36,5.22,125.48,32.67,115.0,34.0,97.03,69.03,1262.0,44.91,61.98,112.9,7.81,67.86,1.33,41.61,13.28,113.03,11.85,60.17,47.66,6.64,30.23,4.68,96.01,3.98,125.22,284.96,36.78,17.87,102.59,100.43,47.82,12.63,25.59,11.55,102.02,2.43,48.46,35.87,165.57,8.04,9.62,14.14,188.55,54.77,29.92,115.19,5.82,37.5,17.95,17.53,7.87
2020-03-31,63.57,2.3,78.91,318.24,136.68,3.89,24.25,45.48,202.73,11.78,1949.72,3.34,2.75,101.87,85.61,44.66,149.14,194.48,21.23,4.06,3.06,4.53,41.03,36.69,100.79,316.38,55.74,24.39,2.9,5.17,42.12,13.9,116.04,12.61,3.21,30.52,37.67,66.36,285.13,143.98,8.09,39.31,72.46,2.12,34.1,138.16,127.12,5.67,96.6,30.06,8.09,7.4,166.8,6.75,121.26,60.51,7.94,1.91,74.76,87.88,18.32,1161.95,74.96,154.59,37.89,186.71,1.82,22.46,2.18,14.4,133.79,17.36,28.01,110.93,8.5,8.21,5.15,54.12,4.49,40.5,131.13,90.03,127.87,44.25,40.23,138.72,338.95,42.47,1.51,165.35,90.18,488.58,136.51,38.67,76.94,157.71,132.92,45.28,375.5,58.27,82.74,3.1,36.02,263.6,82.45,4.56,48.33,5.5,120.1,32.64,110.0,36.0,95.74,67.65,1359.8,45.56,59.36,110.5,7.38,65.74,1.31,42.0,13.49,108.82,11.89,59.18,48.7,6.87,29.15,4.57,92.97,3.96,119.95,283.6,37.24,17.39,99.35,104.8,47.79,12.16,24.56,11.9,99.93,2.43,48.79,34.45,161.12,8.29,9.53,13.77,180.09,53.73,28.7,113.62,6.31,37.97,18.94,18.03,7.88
2020-04-01,60.23,2.25,76.57,301.21,129.72,3.55,21.61,43.66,197.81,11.27,1907.7,3.03,2.94,95.93,77.84,43.78,130.7,187.56,19.77,3.78,2.9,4.05,38.37,35.87,97.68,293.27,54.82,24.37,2.96,4.68,38.51,12.85,111.35,12.09,2.64,29.46,36.13,65.55,286.78,134.06,7.67,38.33,68.56,1.91,32.52,133.67,121.51,5.74,94.92,28.78,7.77,7.2,159.6,6.31,113.48,58.8,7.04,1.77,72.51,83.58,18.87,1102.1,71.41,145.29,37.22,178.63,1.69,21.08,2.14,13.24,129.71,14.84,25.14,105.14,7.72,7.78,5.1,51.88,4.08,40.91,128.81,84.36,125.66,42.12,38.09,136.42,338.52,40.3,1.31,158.17,84.11,447.34,133.14,37.61,73.8,152.11,126.09,46.47,364.08,55.65,79.23,2.97,35.9,243.07,80.93,4.48,48.71,5.41,118.12,31.75,109.33,35.35,91.38,65.9,1352.4,44.17,57.5,105.53,6.91,62.62,1.25,39.72,12.59,104.26,11.21,56.85,47.53,7.04,28.05,4.41,95.27,3.97,116.71,275.2,37.48,16.67,95.2,96.31,46.51,12.11,23.32,11.67,96.89,2.23,47.18,31.93,153.11,8.15,9.75,13.36,175.46,52.92,26.57,114.14,6.39,37.53,17.6,16.94,7.57
2020-04-02,61.23,2.31,79.44,303.96,131.55,3.56,21.25,44.49,208.88,11.34,1918.83,3.05,3.05,95.9,76.66,43.76,123.27,188.9,20.57,3.79,2.85,4.01,39.08,37.9,99.59,304.47,55.21,26.03,3.09,4.84,39.23,11.26,116.74,12.39,3.13,31.07,38.06,68.17,291.48,134.32,7.89,39.8,76.12,1.88,32.51,139.38,123.69,6.08,96.97,29.19,7.93,6.99,158.19,6.39,116.64,58.48,6.9,1.86,76.98,78.82,19.85,1117.03,73.46,149.93,37.7,181.31,1.74,20.88,2.18,13.78,132.81,15.49,24.53,110.0,7.87,7.91,5.1,54.35,4.1,40.08,133.15,87.51,129.28,43.95,39.35,142.18,353.96,40.27,1.37,161.5,86.15,462.87,137.91,36.22,76.87,155.26,130.4,48.23,370.08,54.27,80.14,3.04,35.94,255.47,83.6,4.82,49.8,5.81,123.86,32.87,114.4,40.62,93.52,68.02,1479.6,46.01,54.13,104.99,6.71,65.0,1.3,41.54,13.88,100.78,11.27,58.91,52.41,7.56,28.76,4.51,94.36,4.06,117.82,287.55,39.72,16.27,97.19,90.89,48.13,11.97,23.02,11.87,102.02,2.25,48.53,32.67,157.39,8.15,9.9,13.61,181.8,55.25,27.22,118.65,6.14,40.4,18.48,17.65,7.67
